Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
3,56,2,2,1,14,16,224,224,224,0,0.871154
0,1,7,224,2,2,8,224,224,224,0,0.87189
0,28,1,28,1,2,32,224,224,224,0,0.871792
1,1,16,49,8,2,4,224,224,224,0,0.475192
1,56,2,2,56,4,1,224,224,224,0,0.871236
1,28,8,1,14,2,8,224,224,224,0,0.879363
1,2,8,7,16,7,4,224,224,224,0,0.767663
1,2,7,4,1,64,14,224,224,224,0,0.853835
1,2,1,49,128,1,4,224,224,224,0,0.871273
2,32,1,7,8,28,1,224,224,224,0,0.871198
2,49,16,2,4,1,8,224,224,224,0,0.871467
1,1,14,112,4,2,4,224,224,224,0,0.871957
1,2,28,4,14,8,2,224,224,224,0,0.870999
1,7,28,2,8,1,16,224,224,224,0,0.872675
2,1,14,4,28,1,32,224,224,224,0,0.853697
2,2,7,16,224,1,1,224,224,224,0,0.485785
2,4,98,1,4,8,4,224,224,224,0,0.870685
1,16,7,2,1,8,28,224,224,224,0,0.871156
1,4,28,14,1,1,32,224,224,224,0,0.385775
2,49,4,8,4,8,1,224,224,224,0,0.871475
0,196,1,4,32,2,1,224,224,224,0,0.871457
1,28,1,4,7,32,2,224,224,224,0,0.870423
2,4,1,14,4,14,16,224,224,224,0,0.481165
2,2,2,28,1,32,14,224,224,224,0,0.871237
0,4,1,49,256,1,1,224,224,224,0,0.838999
3,28,2,2,28,16,1,224,224,224,0,0.487435
2,14,2,7,1,16,16,224,224,224,0,0.871625
2,8,4,7,1,32,7,224,224,224,0,0.871513
1,4,8,7,112,2,1,224,224,224,0,0.871816
1,7,8,2,1,112,4,224,224,224,0,0.871642
2,28,2,2,1,14,32,224,224,224,0,0.87204
1,98,1,2,2,32,4,224,224,224,0,0.853452
1,56,14,2,2,1,16,224,224,224,0,0.384603
2,28,14,4,1,16,2,224,224,224,0,0.871007
3,1,4,14,14,64,1,224,224,224,0,0.871264
0,1,14,28,4,2,16,224,224,224,0,0.871888
3,8,1,7,8,8,14,224,224,224,0,0.871153
1,98,4,1,8,4,4,224,224,224,0,0.871823
2,1,2,56,8,1,56,224,224,224,0,0.87178
1,7,4,8,1,56,4,224,224,224,0,0.811534
1,32,1,7,112,2,1,224,224,224,0,0.839324
1,1,28,56,1,4,8,224,224,224,0,0.871578
1,1,7,8,1,112,8,224,224,224,0,0.871139
2,2,56,14,2,2,8,224,224,224,0,0.871454
1,14,7,1,16,32,1,224,224,224,0,0.483521
2,28,2,1,14,2,32,224,224,224,0,0.871675
0,14,8,7,2,1,32,224,224,224,0,0.483231
0,2,7,8,16,2,14,224,224,224,0,0.871854
1,28,2,2,4,14,8,224,224,224,0,0.880013
1,1,56,1,28,1,32,224,224,224,0,0.871674
2,196,2,4,4,2,4,224,224,224,0,0.8717
1,2,14,14,2,16,4,224,224,224,0,0.871761
1,8,14,2,16,1,14,224,224,224,0,0.871928
2,1,112,2,4,56,1,224,224,224,0,0.871599
1,2,7,28,16,8,1,224,224,224,0,0.871033
1,49,8,1,1,4,32,224,224,224,0,0.872328
2,8,28,1,28,1,8,224,224,224,0,0.871999
0,2,28,1,8,8,14,224,224,224,0,0.871477
2,7,32,1,56,2,2,224,224,224,0,0.871649
1,7,32,7,4,2,4,224,224,224,0,0.486665
1,8,7,1,1,16,56,224,224,224,0,0.87174
1,8,1,28,14,4,4,224,224,224,0,0.839593
2,16,1,14,4,56,1,224,224,224,0,0.871857
0,1,1568,1,8,1,4,224,224,224,0,0.85173
1,2,196,2,1,32,2,224,224,224,0,0.871311
1,2,2,14,64,2,7,224,224,224,0,0.871998
1,8,28,1,1,16,14,224,224,224,0,0.490282
2,1,14,8,14,32,1,224,224,224,0,0.766331
1,14,28,4,16,2,1,224,224,224,0,0.871767
1,1,2,28,2,32,14,224,224,224,0,0.871463
2,8,28,1,7,2,16,224,224,224,0,0.853511
3,1,112,1,14,16,2,224,224,224,0,0.871208
2,4,7,4,112,1,4,224,224,224,0,0.871962
2,14,7,2,8,16,2,224,224,224,0,0.871333
2,28,8,1,8,14,2,224,224,224,0,0.871407
1,8,7,28,1,2,16,224,224,224,0,0.87111
1,1,16,14,1,56,4,224,224,224,0,0.871472
1,28,4,2,4,1,56,224,224,224,0,0.871602
2,7,2,8,2,7,32,224,224,224,0,0.871914
1,7,16,2,2,56,2,224,224,224,0,0.87101
2,112,1,1,4,14,8,224,224,224,0,0.871459
1,14,4,2,8,56,1,224,224,224,0,0.832213
1,4,56,1,28,8,1,224,224,224,0,0.768528
2,98,8,2,16,1,2,224,224,224,0,0.871249
0,56,1,2,448,1,1,224,224,224,0,0.870713
0,4,7,56,4,2,4,224,224,224,0,0.915102
3,784,1,1,2,1,32,224,224,224,0,0.871345
