Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
1,2,1,100,8,32,2,320,320,320,0,0.820146
1,2,25,8,64,4,1,320,320,320,0,0.913674
1,8,1,50,16,4,4,320,320,320,0,0.941943
2,1,100,32,32,1,1,320,320,320,0,0.899998
2,20,16,5,2,8,4,320,320,320,0,0.949087
1,1,10,20,4,16,8,320,320,320,0,0.925376
1,10,5,64,16,1,2,320,320,320,0,0.873767
0,10,16,10,16,1,4,320,320,320,0,0.909232
1,2,100,2,32,2,4,320,320,320,0,0.900376
1,10,5,16,2,1,64,320,320,320,0,0.935428
1,32,10,1,160,2,1,320,320,320,0,0.930856
1,10,32,10,1,4,8,320,320,320,0,0.878981
1,2,2,40,160,1,4,320,320,320,0,0.987202
2,100,1,2,32,1,16,320,320,320,0,0.822553
3,40,1,4,64,10,1,320,320,320,0,0.873675
0,20,4,8,8,10,2,320,320,320,0,0.878916
1,40,4,1,40,2,8,320,320,320,0,0.488669
1,16,5,20,2,4,8,320,320,320,0,0.896895
1,640,1,1,8,2,10,320,320,320,0,0.709202
1,10,40,2,8,1,16,320,320,320,0,0.895648
1,20,1,8,2,160,2,320,320,320,0,0.778841
2,2,5,16,2,80,4,320,320,320,0,0.857118
3,2,160,1,1,320,1,320,320,320,0,0.932835
1,1,20,8,2,8,40,320,320,320,0,0.954113
1,20,1,16,16,2,10,320,320,320,0,0.707486
1,8,8,5,5,64,1,320,320,320,0,0.846875
2,1,20,8,10,64,1,320,320,320,0,0.872759
1,4,16,5,20,16,1,320,320,320,0,0.827063
1,4,400,1,4,16,1,320,320,320,0,0.893973
1,25,64,1,16,2,2,320,320,320,0,0.708054
3,1,2,100,16,16,2,320,320,320,0,0.85615
1,20,1,10,8,16,4,320,320,320,0,0.873782
0,8,20,4,2,5,16,320,320,320,0,0.913081
2,1,5,40,1,8,64,320,320,320,0,0.965213
3,20,8,2,5,16,4,320,320,320,0,0.773521
2,5,32,1,64,10,1,320,320,320,0,0.769826
0,25,8,1,4,8,16,320,320,320,0,0.816576
2,4,10,8,64,5,1,320,320,320,0,0.459172
1,10,8,40,1,16,2,320,320,320,0,0.873681
1,16,4,10,4,10,4,320,320,320,0,0.910003
0,8,1,16,80,10,1,320,320,320,0,0.826318
1,160,4,1,10,4,4,320,320,320,0,0.979131
0,2,5,160,2,8,4,320,320,320,0,0.875808
1,40,2,10,1,64,2,320,320,320,0,0.878634
1,2,25,32,2,8,4,320,320,320,0,0.91278
0,16,4,2,5,160,1,320,320,320,0,0.927423
0,8,10,10,1,32,4,320,320,320,0,0.952201
3,32,10,1,8,20,2,320,320,320,0,0.763381
0,2,160,2,2,2,40,320,320,320,0,0.908391
1,4,80,1,5,2,32,320,320,320,0,0.491081
2,50,1,2,256,1,4,320,320,320,0,0.907413
3,10,2,8,2,20,16,320,320,320,0,0.837546
2,80,1,8,1,20,8,320,320,320,0,0.894468
3,320,1,1,1,160,2,320,320,320,0,0.893637
2,20,4,5,2,128,1,320,320,320,0,0.962027
2,32,2,5,8,40,1,320,320,320,0,0.910747
3,50,16,2,2,32,1,320,320,320,0,0.491836
