Kernel,gx,gy,gz,bx,by,bz,n,gpuId,occupancy
0,16,1,8,8,128,1,131072,0,0.492315
0,8,256,1,1,2,32,131072,0,0.24899
0,64,2,8,2,1,64,131072,0,0.492951
0,2,2,1024,4,1,8,131072,0,0.248534
0,64,1,16,16,4,2,131072,0,0.24952
0,64,1,32,1,2,32,131072,0,0.249806
0,2,2,32,128,4,2,131072,0,0.491391
0,16,4,2,2,16,32,131072,0,0.481137
0,2,32,2,32,8,4,131072,0,0.490974
0,128,1,32,1,8,4,131072,0,0.249792
0,32,4,4,4,16,4,131072,0,0.49399
0,1,64,8,4,64,1,131072,0,0.249812
0,16,32,1,32,4,2,131072,0,0.490616
0,16,4,2,16,2,32,131072,0,0.48495
0,4,4,32,4,64,1,131072,0,0.49248
0,4,64,16,8,1,4,131072,0,0.482039
0,32,2,64,2,16,1,131072,0,0.493749
0,8,128,2,4,4,4,131072,0,0.492953
0,2,32,2,32,2,16,131072,0,0.248349
0,4,2,32,2,16,16,131072,0,0.494347
0,32,2,4,4,128,1,131072,0,0.482797
0,1,64,2,4,4,64,131072,0,0.492601
0,1,128,16,4,1,16,131072,0,0.87512
0,1024,2,1,1,2,32,131072,0,0.495265
0,4,4,64,2,32,2,131072,0,0.249713
0,1,32,16,16,16,1,131072,0,0.492741
0,8,64,1,1,16,16,131072,0,0.249693
0,4,64,1,256,1,2,131072,0,0.249076
0,128,1,8,2,2,32,131072,0,0.249765
0,256,1,16,2,4,4,131072,0,0.489711
0,2,64,16,1,2,32,131072,0,0.493414
0,4,32,1,8,128,1,131072,0,0.484985
0,64,1,2,64,1,16,131072,0,0.490202
0,4,256,4,1,2,16,131072,0,0.247891
0,8,16,1,8,2,64,131072,0,0.490957
0,4,256,1,16,4,2,131072,0,0.493866
0,16,32,4,2,1,32,131072,0,0.495409
0,4,2,16,256,2,2,131072,0,0.249798
0,4,4,16,2,4,64,131072,0,0.493492
0,1,16,128,1,16,4,131072,0,0.249436
0,8,16,8,4,16,2,131072,0,0.492362
0,32,64,1,16,4,1,131072,0,0.492592
0,16,16,8,1,32,2,131072,0,0.249748
0,4,128,1,128,1,2,131072,0,0.249705
0,4,64,2,1,16,16,131072,0,0.249759
0,8,4,4,16,2,32,131072,0,0.493733
0,1,64,8,256,1,1,131072,0,0.492625
0,4,64,8,4,2,8,131072,0,0.492689
0,16,16,2,2,16,8,131072,0,0.492482
0,128,2,8,4,16,1,131072,0,0.249734
0,1,128,8,2,4,16,131072,0,0.24983
0,2,64,32,2,2,8,131072,0,0.491901
0,16,2,64,2,4,8,131072,0,0.493828
0,16,2,8,64,4,2,131072,0,0.493137
0,2,1024,1,8,4,2,131072,0,0.249694
0,32,2,32,8,2,4,131072,0,0.249375
0,2,16,16,2,16,8,131072,0,0.249864
0,32,8,1,32,2,8,131072,0,0.492401
0,4,1,256,8,16,1,131072,0,0.483685
0,2,1,256,2,2,64,131072,0,0.249734
0,4,16,2,1,512,2,131072,0,0.48659
0,128,1,4,2,32,4,131072,0,0.249834
0,256,2,1,32,4,2,131072,0,0.249694
0,4,128,4,16,1,4,131072,0,0.249759
0,8,2,64,128,1,1,131072,0,0.491845
0,64,32,2,1,2,16,131072,0,0.249778
0,8,128,1,2,64,1,131072,0,0.249733
0,8,2,16,1,256,2,131072,0,0.491933
0,2,8,128,32,1,2,131072,0,0.248646
0,1,16,64,1,64,2,131072,0,0.493313
0,2,8,256,16,2,1,131072,0,0.249854
0,8,512,1,2,2,8,131072,0,0.24972
0,16,32,1,4,8,8,131072,0,0.249766
0,4,8,32,4,1,32,131072,0,0.8726
0,4,64,2,4,4,16,131072,0,0.49269
0,1,16,16,64,4,2,131072,0,0.249604
0,8,32,16,16,2,1,131072,0,0.249792
0,2,16,4,64,8,2,131072,0,0.491448
0,1,2,1024,1,32,2,131072,0,0.492969
0,128,4,4,1,4,16,131072,0,0.249749
0,128,2,1,32,16,1,131072,0,0.492938
0,16,16,1,2,256,1,131072,0,0.249765
0,8,128,2,32,2,1,131072,0,0.492743
0,128,8,2,2,32,1,131072,0,0.479434
0,1,512,2,128,1,1,131072,0,0.484045
0,1,1024,1,4,8,4,131072,0,0.491088
0,2,1,64,16,16,4,131072,0,0.49071
0,8,4,4,1024,1,1,131072,0,0.249849
0,4,8,32,32,1,4,131072,0,0.490332
0,2,16,32,8,2,8,131072,0,0.249763
0,8,8,2,4,256,1,131072,0,0.49491
0,1,16,128,2,8,4,131072,0,0.248953
0,16,2,32,16,1,8,131072,0,0.482372
0,16,1,64,1,32,4,131072,0,0.494295
0,2,16,4,128,2,4,131072,0,0.492221
0,1,2,1024,1,2,32,131072,0,0.491209
0,4,4,128,1,8,8,131072,0,0.249737
0,2,32,64,1,8,4,131072,0,0.483157
0,2,2,512,2,2,16,131072,0,0.491282
0,4,4,32,8,4,8,131072,0,0.494293
0,16,16,1,1,512,1,131072,0,0.249219
0,2,8,64,2,1,64,131072,0,0.491171
0,4,2,32,32,2,8,131072,0,0.492884
0,2,4,512,8,1,4,131072,0,0.249811
0,1,16,16,2,64,4,131072,0,0.492553
0,32,4,2,64,8,1,131072,0,0.491272
0,1,64,4,256,2,1,131072,0,0.492411
0,16,8,8,32,2,2,131072,0,0.493365
0,32,1,4,1024,1,1,131072,0,0.483812
0,512,1,2,16,8,1,131072,0,0.249809
0,16,4,4,2,16,16,131072,0,0.249726
0,1,64,16,32,2,2,131072,0,0.493197
0,1,1,512,256,1,1,131072,0,0.249835
0,32,32,2,4,4,4,131072,0,0.484919
0,8,16,1,64,1,16,131072,0,0.24959
0,1,256,8,1,8,8,131072,0,0.483624
0,16,64,1,8,4,4,131072,0,0.491091
0,16,2,16,1,8,32,131072,0,0.489059
0,4,128,8,4,2,4,131072,0,0.494279
0,8,8,2,16,16,4,131072,0,0.490684
0,1,128,1,1,512,2,131072,0,0.490416
0,4,32,4,16,2,8,131072,0,0.249601
0,2,32,8,4,8,8,131072,0,0.249754
0,128,1,4,32,8,1,131072,0,0.492671
0,2,512,4,2,1,16,131072,0,0.248635
0,1,2,256,2,8,16,131072,0,0.24978
0,8,8,64,1,4,8,131072,0,0.249796
0,8,16,1,16,64,1,131072,0,0.247932
0,2,64,16,64,1,1,131072,0,0.49326
0,1,1,512,2,128,1,131072,0,0.249712
0,16,1,128,1,64,1,131072,0,0.249791
0,64,2,1,1024,1,1,131072,0,0.490784
0,1024,1,2,2,4,8,131072,0,0.493513
0,16,8,32,4,2,4,131072,0,0.492827
0,8,1,16,512,2,1,131072,0,0.249717
0,8,2,256,1,8,4,131072,0,0.249731
0,8,128,1,8,4,4,131072,0,0.249776
0,128,1,4,2,16,8,131072,0,0.493945
0,1,1,128,16,8,8,131072,0,0.489958
0,32,2,16,1,8,16,131072,0,0.249787
0,256,2,4,4,8,2,131072,0,0.492057
0,16,32,2,2,16,4,131072,0,0.249747
0,64,2,16,2,16,2,131072,0,0.249723
0,2,32,2,16,32,2,131072,0,0.249829
0,4,128,1,8,8,4,131072,0,0.492557
0,8,1,64,2,64,2,131072,0,0.249789
0,2,4,128,2,1,64,131072,0,0.492287
0,8,1,16,128,1,8,131072,0,0.249781
0,16,2,64,1,32,2,131072,0,0.485189
0,1,4,32,16,16,4,131072,0,0.248819
0,32,4,32,4,2,4,131072,0,0.491104
0,1,256,2,16,16,1,131072,0,0.249062
0,2,1,256,16,8,2,131072,0,0.49253
0,1,16,32,2,4,32,131072,0,0.492721
0,16,8,4,2,2,64,131072,0,0.249376
0,2,2048,1,8,4,1,131072,0,0.48578
0,1024,4,1,2,8,2,131072,0,0.24976
0,32,2,4,1,16,32,131072,0,0.249742
0,128,1,16,4,16,1,131072,0,0.24978
0,2,512,2,32,1,2,131072,0,0.483204
0,2,64,8,1,4,32,131072,0,0.249713
0,1,1024,1,8,16,1,131072,0,0.249718
0,2,4,32,1,128,4,131072,0,0.870512
0,64,16,1,64,2,1,131072,0,0.493945
0,2,2,512,1,1,64,131072,0,0.48411
0,512,1,2,1,32,4,131072,0,0.249718
0,128,4,2,8,2,8,131072,0,0.493092
0,32,32,4,2,16,1,131072,0,0.491179
0,4,8,32,2,4,16,131072,0,0.249754
0,4,2,16,1,16,64,131072,0,0.249548
0,8,16,8,4,32,1,131072,0,0.491566
0,32,2,32,4,4,4,131072,0,0.492751
0,4,4,8,1,512,2,131072,0,0.491388
0,1,1,256,256,2,1,131072,0,0.49307
0,256,1,1,8,4,16,131072,0,0.494075
0,2,8,8,128,8,1,131072,0,0.493091
0,64,1,64,1,16,2,131072,0,0.249694
0,2,512,1,1,2,64,131072,0,0.249826
0,32,16,8,2,16,1,131072,0,0.248531
0,4,32,1,1,16,64,131072,0,0.48558
0,64,32,2,4,2,4,131072,0,0.490151
0,1,256,1,2,256,1,131072,0,0.249939
0,1,16,16,16,8,4,131072,0,0.49201
0,2,2,32,4,256,1,131072,0,0.249966
0,4,128,4,1,64,1,131072,0,0.492023
0,8,256,2,4,2,4,131072,0,0.491651
0,32,4,8,4,8,4,131072,0,0.491163
0,4,16,2,64,8,2,131072,0,0.24979
0,8,1,64,64,1,4,131072,0,0.24984
0,256,16,1,1,4,8,131072,0,0.494115
0,8,32,4,32,1,4,131072,0,0.490506
0,2,4,256,16,2,2,131072,0,0.24981
0,64,1,64,4,1,8,131072,0,0.492213
0,2,8,8,4,8,32,131072,0,0.249791
0,1,2,128,128,4,1,131072,0,0.491136
0,2,2,32,16,1,64,131072,0,0.483012
0,16,16,8,64,1,1,131072,0,0.494544
0,2,32,64,2,8,2,131072,0,0.489781
0,2,2,256,1,2,64,131072,0,0.49072
0,1,16,32,1,8,32,131072,0,0.24982
0,128,4,1,64,1,4,131072,0,0.492544
0,1,4,1024,4,8,1,131072,0,0.493
0,2,32,2,4,256,1,131072,0,0.249705
0,8,256,2,8,1,4,131072,0,0.249724
0,2,8,64,1,16,8,131072,0,0.491718
0,1,2,256,4,1,64,131072,0,0.492395
0,256,1,8,1,16,4,131072,0,0.249736
0,2,16,32,1,32,4,131072,0,0.486344
0,8,8,4,2,4,64,131072,0,0.492087
0,1,128,8,16,4,2,131072,0,0.491503
0,8,2,64,1,64,2,131072,0,0.249937
0,4,32,1,8,64,2,131072,0,0.249321
0,16,2,4,64,16,1,131072,0,0.49228
0,4,128,1,128,2,1,131072,0,0.249807
0,16,2,128,16,2,1,131072,0,0.249827
0,64,1,64,2,4,4,131072,0,0.24981
0,8,1,64,8,8,4,131072,0,0.491767
0,128,4,1,64,4,1,131072,0,0.249816
0,8,1,16,4,256,1,131072,0,0.249961
0,32,16,1,16,1,16,131072,0,0.492861
0,32,1,64,8,2,4,131072,0,0.475793
0,1,4,32,64,16,1,131072,0,0.492081
0,32,8,2,128,2,1,131072,0,0.249931
0,2048,1,1,1,32,2,131072,0,0.249717
0,8,32,4,1,64,2,131072,0,0.249802
0,256,16,1,4,8,1,131072,0,0.491485
0,2,256,1,8,4,8,131072,0,0.492424
0,64,8,2,2,2,32,131072,0,0.491495
0,4,16,32,16,2,2,131072,0,0.249806
0,64,1,4,32,4,4,131072,0,0.493753
0,256,1,2,4,32,2,131072,0,0.249726
0,2,128,2,2,4,32,131072,0,0.248208
0,8,8,2,4,16,16,131072,0,0.249727
0,4,64,16,16,2,1,131072,0,0.481826
0,2,2,128,64,2,2,131072,0,0.491199
0,8,1,256,1,1,64,131072,0,0.493468
0,1,1024,2,32,2,1,131072,0,0.491619
0,2,32,8,16,2,8,131072,0,0.249753
0,4,4,128,4,8,2,131072,0,0.489764
0,1,8,16,4,64,4,131072,0,0.24976
0,4,1,256,16,2,4,131072,0,0.489778
0,16,2,16,2,16,8,131072,0,0.249812
0,32,32,2,1,16,4,131072,0,0.493679
0,64,16,1,4,4,8,131072,0,0.249847
0,512,2,2,16,4,1,131072,0,0.484761
0,32,4,2,32,2,8,131072,0,0.24978
0,32,128,1,4,1,8,131072,0,0.492738
0,64,1,16,8,1,16,131072,0,0.249804
0,512,4,1,4,8,2,131072,0,0.248653
0,1,16,8,1,16,64,131072,0,0.493898
0,1,1,1024,2,1,64,131072,0,0.491705
0,256,2,8,4,4,2,131072,0,0.249714
0,8,32,8,1,2,32,131072,0,0.249719
0,32,4,2,32,8,2,131072,0,0.493471
0,1,8,16,128,4,2,131072,0,0.484402
0,8,16,2,1,64,8,131072,0,0.249641
0,32,128,1,1,32,1,131072,0,0.492065
0,128,4,4,8,2,4,131072,0,0.495761
0,8,16,2,8,32,2,131072,0,0.490482
0,2,1,256,2,64,2,131072,0,0.493423
0,2,32,4,64,4,2,131072,0,0.249811
0,1,64,32,1,64,1,131072,0,0.491845
0,1,64,16,4,1,32,131072,0,0.491987
0,4,2,128,4,2,16,131072,0,0.249813
0,256,1,1,1,128,4,131072,0,0.24979
0,2,4,256,2,32,1,131072,0,0.248847
0,1,512,4,8,2,4,131072,0,0.493524
0,32,16,8,2,8,2,131072,0,0.484783
0,128,1,16,8,4,2,131072,0,0.486295
0,64,16,2,1,64,1,131072,0,0.249749
0,4,2,32,4,8,16,131072,0,0.480897
0,4,8,4,2,8,64,131072,0,0.249823
0,1,32,64,64,1,1,131072,0,0.249778
0,16,1,16,8,1,64,131072,0,0.490147
0,1,512,2,2,1,64,131072,0,0.492878
0,32,32,2,16,4,1,131072,0,0.49189
0,8,4,32,2,64,1,131072,0,0.249837
0,1,1,1024,1,4,32,131072,0,0.489175
0,4,32,8,1,64,2,131072,0,0.249938
0,512,1,1,32,1,8,131072,0,0.249749
0,2,16,16,64,4,1,131072,0,0.249785
0,1,8,16,2,64,8,131072,0,0.249749
0,128,1,2,128,1,4,131072,0,0.484515
0,4,16,2,32,8,4,131072,0,0.491347
0,8,32,8,4,2,8,131072,0,0.48186
0,1,128,8,16,1,8,131072,0,0.482917
0,16,32,4,1,32,2,131072,0,0.249962
0,2,2,128,128,2,1,131072,0,0.495423
0,2,8,64,2,32,2,131072,0,0.249572
0,8,8,8,2,2,64,131072,0,0.249779
0,32,1,16,32,8,1,131072,0,0.491356
0,1,4,64,16,1,32,131072,0,0.2498
0,512,1,4,4,16,1,131072,0,0.249908
0,8,2,8,128,1,8,131072,0,0.486231
0,16,1,8,16,1,64,131072,0,0.249793
0,256,1,8,1,32,2,131072,0,0.485219
0,1024,1,2,4,2,8,131072,0,0.249685
0,1,128,1,16,4,16,131072,0,0.493563
0,8,4,8,16,32,1,131072,0,0.493763
0,16,4,8,2,128,1,131072,0,0.492834
0,128,2,8,1,16,4,131072,0,0.489376
0,4,64,2,1,4,64,131072,0,0.249702
0,2,8,256,4,8,1,131072,0,0.490292
0,4,256,4,2,8,2,131072,0,0.249042
0,2,1,512,16,8,1,131072,0,0.493497
0,2,128,2,1,8,32,131072,0,0.494171
0,8,4,64,4,16,1,131072,0,0.491776
0,8,8,64,32,1,1,131072,0,0.249781
0,32,1,8,2,16,16,131072,0,0.485305
0,16,16,2,64,4,1,131072,0,0.249762
0,4,64,4,16,8,1,131072,0,0.492077
0,8,4,32,4,2,16,131072,0,0.490505
0,8,4,64,2,16,2,131072,0,0.249804
0,4,16,4,64,2,4,131072,0,0.49149
0,128,2,4,1,64,2,131072,0,0.492663
0,1,8,16,256,2,2,131072,0,0.24976
0,16,4,64,1,16,2,131072,0,0.494705
0,4,32,2,16,32,1,131072,0,0.249576
0,4,32,1,128,1,8,131072,0,0.49312
0,2,128,1,2,64,4,131072,0,0.249394
0,1,2,512,1,64,2,131072,0,0.494554
0,2,1,64,1,32,32,131072,0,0.249759
0,1,512,1,32,8,1,131072,0,0.493659
0,16,32,1,16,16,1,131072,0,0.492584
0,2,2,64,256,1,2,131072,0,0.477455
0,4,2,128,16,1,8,131072,0,0.2497
0,64,32,1,1,1,64,131072,0,0.249791
0,32,2,2,2,512,1,131072,0,0.249694
0,16,1,8,32,32,1,131072,0,0.24985
0,1,1,128,256,2,2,131072,0,0.491895
0,64,1,8,32,4,2,131072,0,0.249722
0,1,8,256,2,1,32,131072,0,0.249854
0,16,2,8,4,64,2,131072,0,0.492476
0,1,8,32,128,2,2,131072,0,0.491378
0,8,128,2,8,8,1,131072,0,0.249834
0,16,16,2,1,8,32,131072,0,0.493247
0,64,1,4,1,128,4,131072,0,0.24973
0,32,1,64,2,4,8,131072,0,0.248208
0,4,1,64,32,8,2,131072,0,0.493412
0,64,2,16,4,4,4,131072,0,0.249879
0,4,256,2,8,2,4,131072,0,0.24986
0,2,8,32,128,2,1,131072,0,0.491189
0,8,1,16,1,64,16,131072,0,0.249821
0,1,2,2048,8,2,2,131072,0,0.49177
0,32,32,4,16,1,2,131072,0,0.249722
0,4,32,16,4,1,16,131072,0,0.249949
0,32,2,16,16,4,2,131072,0,0.249923
0,1,2,128,64,8,1,131072,0,0.493312
0,2,4,32,4,4,32,131072,0,0.249855
0,8,4,4,256,1,4,131072,0,0.24982
0,512,8,1,2,8,2,131072,0,0.249838
0,64,4,1,8,2,32,131072,0,0.491912
0,64,4,2,2,64,2,131072,0,0.249951
0,4,16,16,8,4,4,131072,0,0.249793
0,16,8,4,4,16,4,131072,0,0.249731
0,2,1,128,128,4,1,131072,0,0.489004
0,32,2,4,512,1,1,131072,0,0.491802
0,2,2,1024,2,8,2,131072,0,0.483974
0,128,1,1,1024,1,1,131072,0,0.249861
0,4,1024,1,1,32,1,131072,0,0.49197
0,32,64,1,1,1,64,131072,0,0.491397
0,4,16,4,1,8,64,131072,0,0.249696
0,8,8,4,4,64,2,131072,0,0.249862
0,32,2,16,1,4,32,131072,0,0.485589
0,2,4,32,8,32,2,131072,0,0.491729
0,8,2,64,4,16,2,131072,0,0.484236
0,32,16,1,16,16,1,131072,0,0.493072
0,1,4,128,2,2,64,131072,0,0.493267
0,4,8,32,16,8,1,131072,0,0.249616
0,32,128,1,2,8,2,131072,0,0.490609
0,2,8,8,1,512,2,131072,0,0.249051
0,128,1,16,16,4,1,131072,0,0.495491
0,1,4,128,8,2,16,131072,0,0.492268
0,128,32,1,1,16,2,131072,0,0.249745
0,4,1024,1,8,1,4,131072,0,0.249771
0,4,2,128,128,1,1,131072,0,0.249784
0,1,4,512,8,4,2,131072,0,0.49255
0,8,4,16,2,128,1,131072,0,0.249776
0,1,128,1,4,64,4,131072,0,0.493479
0,128,2,8,8,4,2,131072,0,0.249693
0,128,8,2,32,2,1,131072,0,0.494163
0,8,8,16,2,64,1,131072,0,0.249822
0,8,32,1,16,4,8,131072,0,0.494242
0,16,8,4,4,32,2,131072,0,0.494543
0,2048,2,1,4,4,2,131072,0,0.249853
0,64,2,2,16,32,1,131072,0,0.493212
0,64,4,1,1,32,16,131072,0,0.24979
0,4,4,8,512,1,2,131072,0,0.249589
0,8,8,64,16,1,2,131072,0,0.249779
0,4,2,512,8,2,2,131072,0,0.492079
0,8,4,8,1,256,2,131072,0,0.249776
0,2,1,64,8,4,32,131072,0,0.491352
0,32,4,16,16,2,2,131072,0,0.249792
0,4,8,32,1,2,64,131072,0,0.249699
0,2,8,128,2,4,8,131072,0,0.4933
0,2,64,2,2,16,16,131072,0,0.491866
0,128,16,2,2,1,16,131072,0,0.493678
0,4,64,1,2,64,4,131072,0,0.249796
0,512,2,2,1,64,1,131072,0,0.484065
0,1,2,128,8,64,1,131072,0,0.483841
0,4,128,2,2,1,64,131072,0,0.492167
0,8,128,1,4,4,8,131072,0,0.491648
0,1024,1,1,8,1,16,131072,0,0.249828
0,64,8,8,2,4,4,131072,0,0.249812
0,32,64,2,1,32,1,131072,0,0.490902
0,8,32,16,1,32,1,131072,0,0.249847
0,8,16,2,2,16,16,131072,0,0.249708
0,16,1,16,4,8,16,131072,0,0.493825
0,2,4,16,2,64,8,131072,0,0.48386
0,32,8,4,8,4,4,131072,0,0.249963
0,1,2,512,2,32,2,131072,0,0.248638
0,2,512,2,8,2,4,131072,0,0.493459
0,1,4,256,64,2,1,131072,0,0.492474
0,8,512,1,1,32,1,131072,0,0.249857
0,2,128,8,16,1,4,131072,0,0.249315
0,4,32,1,4,16,16,131072,0,0.492456
0,8,4,4,4,16,16,131072,0,0.493772
0,4,16,8,32,2,4,131072,0,0.249855
0,8,64,1,256,1,1,131072,0,0.492696
0,8,2,16,128,2,2,131072,0,0.490359
0,64,4,2,8,2,16,131072,0,0.249846
0,2,8,16,32,4,4,131072,0,0.249742
0,128,32,1,8,1,4,131072,0,0.249936
0,2,4,256,1,8,8,131072,0,0.249776
0,64,4,4,16,4,2,131072,0,0.489393
0,4,32,4,8,32,1,131072,0,0.249962
0,2,64,1,1,1024,1,131072,0,0.249802
0,8,128,4,4,2,4,131072,0,0.249422
0,128,2,1,4,128,1,131072,0,0.249258
0,1,128,1,4,128,2,131072,0,0.492679
0,4,8,32,2,64,1,131072,0,0.249785
0,4,128,1,2,8,16,131072,0,0.487328
0,16,4,16,2,32,2,131072,0,0.493033
0,2,2,512,2,4,8,131072,0,0.249803
0,128,8,4,2,16,1,131072,0,0.249853
0,1,64,4,8,1,64,131072,0,0.24977
0,16,8,1,128,2,4,131072,0,0.490677
0,64,2,1,256,1,4,131072,0,0.249779
0,4,32,2,32,8,2,131072,0,0.24968
0,1,64,8,16,2,8,131072,0,0.249614
0,1,128,2,256,2,1,131072,0,0.249966
0,1,8,64,1,256,1,131072,0,0.249968
0,2,1,64,2,16,32,131072,0,0.48552
0,1,1024,1,2,32,2,131072,0,0.249809
0,8,2,128,8,8,1,131072,0,0.481575
0,2,512,2,2,1,32,131072,0,0.249762
0,128,2,16,8,2,2,131072,0,0.248534
0,4,8,4,1,128,8,131072,0,0.492635
0,16,32,1,4,1,64,131072,0,0.249785
0,1,8,64,4,1,64,131072,0,0.492965
0,32,4,4,16,2,8,131072,0,0.249609
0,16,4,8,32,8,1,131072,0,0.492757
0,8,8,4,8,2,32,131072,0,0.49155
0,32,2,8,1,8,32,131072,0,0.493145
0,1024,1,1,32,2,2,131072,0,0.482247
0,2,64,16,1,64,1,131072,0,0.248905
0,32,4,1,32,16,2,131072,0,0.49201
0,1024,1,4,8,1,4,131072,0,0.249769
0,32,1,4,8,32,4,131072,0,0.249877
0,4,16,8,1,8,32,131072,0,0.249765
0,128,1,2,8,16,4,131072,0,0.249963
0,512,1,2,32,1,4,131072,0,0.480255
0,2,128,16,4,4,2,131072,0,0.249755
0,16,1,8,4,32,8,131072,0,0.494498
0,16,16,1,16,16,2,131072,0,0.249955
0,8,4,16,8,8,4,131072,0,0.494022
0,1,1024,4,1,32,1,131072,0,0.48698
0,128,1,4,1,4,64,131072,0,0.490499
0,8,32,8,2,4,8,131072,0,0.491819
0,16,16,16,2,16,1,131072,0,0.486978
0,256,1,1,16,16,2,131072,0,0.249769
0,64,8,1,8,4,8,131072,0,0.495339
0,8,2,16,2,16,16,131072,0,0.489364
0,4,32,1,16,2,32,131072,0,0.249726
0,16,16,16,16,1,2,131072,0,0.249773
0,1,128,4,2,32,4,131072,0,0.249785
0,32,1,4,128,2,4,131072,0,0.24989
0,128,2,4,1,2,64,131072,0,0.249775
0,4,64,4,8,8,2,131072,0,0.249735
0,4,128,2,8,2,8,131072,0,0.492218
0,1,2,512,16,4,2,131072,0,0.249737
0,8,1,256,16,1,4,131072,0,0.249826
0,1,16,16,4,2,64,131072,0,0.49417
0,512,1,1,64,1,4,131072,0,0.247954
0,64,1,32,16,1,4,131072,0,0.249807
0,2,32,64,1,1,32,131072,0,0.491088
0,2048,1,1,32,2,1,131072,0,0.492643
0,32,1,4,64,8,2,131072,0,0.494841
0,128,8,2,1,32,2,131072,0,0.492646
0,16,1,8,8,2,64,131072,0,0.492094
0,128,16,2,2,4,4,131072,0,0.490536
0,4,64,2,32,1,8,131072,0,0.491724
0,2,32,2,4,64,4,131072,0,0.49221
0,8,8,16,1,4,32,131072,0,0.249802
0,1,16,64,1,8,16,131072,0,0.481106
0,1,32,128,8,4,1,131072,0,0.249677
0,4,2,128,2,8,8,131072,0,0.249643
0,1,64,4,32,8,2,131072,0,0.484944
0,8,16,2,8,1,64,131072,0,0.492259
0,8,2,8,16,8,8,131072,0,0.249766
0,8,8,16,4,32,1,131072,0,0.249792
0,4,2,64,1,4,64,131072,0,0.493195
0,1,64,8,16,8,2,131072,0,0.249573
0,64,1,64,4,4,2,131072,0,0.24993
0,2,128,8,1,64,1,131072,0,0.249714
0,128,1,4,64,4,1,131072,0,0.491404
0,64,16,2,8,8,1,131072,0,0.249852
0,1,512,1,1,32,8,131072,0,0.24997
0,2,128,8,8,8,1,131072,0,0.483568
0,8,4,32,64,2,1,131072,0,0.492432
0,2,2,32,4,8,32,131072,0,0.249945
0,16,1,16,2,8,32,131072,0,0.492073
0,8,1,256,8,1,8,131072,0,0.493087
0,128,4,1,16,8,2,131072,0,0.49243
0,16,8,1,1024,1,1,131072,0,0.249714
0,256,1,4,32,4,1,131072,0,0.493893
0,2,4,32,32,1,16,131072,0,0.490843
0,8,8,16,1,64,2,131072,0,0.249416
0,16,64,1,1,8,16,131072,0,0.492267
0,4,64,1,2,128,2,131072,0,0.492639
0,4,4,8,8,4,32,131072,0,0.249736
0,256,2,2,32,2,2,131072,0,0.4961
0,16,4,16,2,64,1,131072,0,0.490741
0,1,8,16,8,32,4,131072,0,0.249758
0,1,32,8,8,2,32,131072,0,0.249827
0,16,8,2,32,8,2,131072,0,0.494348
0,4,8,64,4,2,8,131072,0,0.485481
0,4,128,2,2,16,4,131072,0,0.493212
0,8,2,128,1,8,8,131072,0,0.484427
0,16,32,8,1,32,1,131072,0,0.493061
0,8,16,2,2,8,32,131072,0,0.486112
