'gx:1, gy:1, gz:288, bx:32, by:1, bz:1, ' 
'gx:1, gy:2, gz:144, bx:32, by:1, bz:1, ' 
'gx:1, gy:3, gz:96, bx:32, by:1, bz:1, ' 
'gx:1, gy:4, gz:72, bx:32, by:1, bz:1, ' 
'gx:1, gy:6, gz:48, bx:32, by:1, bz:1, ' 
'gx:1, gy:8, gz:36, bx:32, by:1, bz:1, ' 
'gx:1, gy:9, gz:32, bx:32, by:1, bz:1, ' 
'gx:1, gy:12, gz:24, bx:32, by:1, bz:1, ' 
'gx:1, gy:16, gz:18, bx:32, by:1, bz:1, ' 
'gx:1, gy:18, gz:16, bx:32, by:1, bz:1, ' 
'gx:1, gy:24, gz:12, bx:32, by:1, bz:1, ' 
'gx:1, gy:32, gz:9, bx:32, by:1, bz:1, ' 
'gx:1, gy:36, gz:8, bx:32, by:1, bz:1, ' 
'gx:1, gy:48, gz:6, bx:32, by:1, bz:1, ' 
'gx:1, gy:72, gz:4, bx:32, by:1, bz:1, ' 
'gx:1, gy:96, gz:3, bx:32, by:1, bz:1, ' 
'gx:1, gy:144, gz:2, bx:32, by:1, bz:1, ' 
'gx:1, gy:288, gz:1, bx:32, by:1, bz:1, ' 
'gx:2, gy:1, gz:144, bx:32, by:1, bz:1, ' 
'gx:2, gy:2, gz:72, bx:32, by:1, bz:1, ' 
'gx:2, gy:3, gz:48, bx:32, by:1, bz:1, ' 
'gx:2, gy:4, gz:36, bx:32, by:1, bz:1, ' 
'gx:2, gy:6, gz:24, bx:32, by:1, bz:1, ' 
'gx:2, gy:8, gz:18, bx:32, by:1, bz:1, ' 
'gx:2, gy:9, gz:16, bx:32, by:1, bz:1, ' 
'gx:2, gy:12, gz:12, bx:32, by:1, bz:1, ' 
'gx:2, gy:16, gz:9, bx:32, by:1, bz:1, ' 
'gx:2, gy:18, gz:8, bx:32, by:1, bz:1, ' 
'gx:2, gy:24, gz:6, bx:32, by:1, bz:1, ' 
'gx:2, gy:36, gz:4, bx:32, by:1, bz:1, ' 
'gx:2, gy:48, gz:3, bx:32, by:1, bz:1, ' 
'gx:2, gy:72, gz:2, bx:32, by:1, bz:1, ' 
'gx:2, gy:144, gz:1, bx:32, by:1, bz:1, ' 
'gx:3, gy:1, gz:96, bx:32, by:1, bz:1, ' 
'gx:3, gy:2, gz:48, bx:32, by:1, bz:1, ' 
'gx:3, gy:3, gz:32, bx:32, by:1, bz:1, ' 
'gx:3, gy:4, gz:24, bx:32, by:1, bz:1, ' 
'gx:3, gy:6, gz:16, bx:32, by:1, bz:1, ' 
'gx:3, gy:8, gz:12, bx:32, by:1, bz:1, ' 
'gx:3, gy:12, gz:8, bx:32, by:1, bz:1, ' 
'gx:3, gy:16, gz:6, bx:32, by:1, bz:1, ' 
'gx:3, gy:24, gz:4, bx:32, by:1, bz:1, ' 
'gx:3, gy:32, gz:3, bx:32, by:1, bz:1, ' 
'gx:3, gy:48, gz:2, bx:32, by:1, bz:1, ' 
'gx:3, gy:96, gz:1, bx:32, by:1, bz:1, ' 
'gx:4, gy:1, gz:72, bx:32, by:1, bz:1, ' 
'gx:4, gy:2, gz:36, bx:32, by:1, bz:1, ' 
'gx:4, gy:3, gz:24, bx:32, by:1, bz:1, ' 
'gx:4, gy:4, gz:18, bx:32, by:1, bz:1, ' 
'gx:4, gy:6, gz:12, bx:32, by:1, bz:1, ' 
'gx:4, gy:8, gz:9, bx:32, by:1, bz:1, ' 
'gx:4, gy:9, gz:8, bx:32, by:1, bz:1, ' 
'gx:4, gy:12, gz:6, bx:32, by:1, bz:1, ' 
'gx:4, gy:18, gz:4, bx:32, by:1, bz:1, ' 
'gx:4, gy:24, gz:3, bx:32, by:1, bz:1, ' 
'gx:4, gy:36, gz:2, bx:32, by:1, bz:1, ' 
'gx:4, gy:72, gz:1, bx:32, by:1, bz:1, ' 
'gx:6, gy:1, gz:48, bx:32, by:1, bz:1, ' 
'gx:6, gy:2, gz:24, bx:32, by:1, bz:1, ' 
'gx:6, gy:3, gz:16, bx:32, by:1, bz:1, ' 
'gx:6, gy:4, gz:12, bx:32, by:1, bz:1, ' 
'gx:6, gy:6, gz:8, bx:32, by:1, bz:1, ' 
'gx:6, gy:8, gz:6, bx:32, by:1, bz:1, ' 
'gx:6, gy:12, gz:4, bx:32, by:1, bz:1, ' 
'gx:6, gy:16, gz:3, bx:32, by:1, bz:1, ' 
'gx:6, gy:24, gz:2, bx:32, by:1, bz:1, ' 
'gx:6, gy:48, gz:1, bx:32, by:1, bz:1, ' 
'gx:8, gy:1, gz:36, bx:32, by:1, bz:1, ' 
'gx:8, gy:2, gz:18, bx:32, by:1, bz:1, ' 
'gx:8, gy:3, gz:12, bx:32, by:1, bz:1, ' 
'gx:8, gy:4, gz:9, bx:32, by:1, bz:1, ' 
'gx:8, gy:6, gz:6, bx:32, by:1, bz:1, ' 
'gx:8, gy:9, gz:4, bx:32, by:1, bz:1, ' 
'gx:8, gy:12, gz:3, bx:32, by:1, bz:1, ' 
'gx:8, gy:18, gz:2, bx:32, by:1, bz:1, ' 
'gx:8, gy:36, gz:1, bx:32, by:1, bz:1, ' 
'gx:9, gy:1, gz:32, bx:32, by:1, bz:1, ' 
'gx:9, gy:2, gz:16, bx:32, by:1, bz:1, ' 
'gx:9, gy:4, gz:8, bx:32, by:1, bz:1, ' 
'gx:9, gy:8, gz:4, bx:32, by:1, bz:1, ' 
'gx:9, gy:16, gz:2, bx:32, by:1, bz:1, ' 
'gx:9, gy:32, gz:1, bx:32, by:1, bz:1, ' 
'gx:12, gy:1, gz:24, bx:32, by:1, bz:1, ' 
'gx:12, gy:2, gz:12, bx:32, by:1, bz:1, ' 
'gx:12, gy:3, gz:8, bx:32, by:1, bz:1, ' 
'gx:12, gy:4, gz:6, bx:32, by:1, bz:1, ' 
'gx:12, gy:6, gz:4, bx:32, by:1, bz:1, ' 
'gx:12, gy:8, gz:3, bx:32, by:1, bz:1, ' 
'gx:12, gy:12, gz:2, bx:32, by:1, bz:1, ' 
'gx:12, gy:24, gz:1, bx:32, by:1, bz:1, ' 
'gx:16, gy:1, gz:18, bx:32, by:1, bz:1, ' 
'gx:16, gy:2, gz:9, bx:32, by:1, bz:1, ' 
'gx:16, gy:3, gz:6, bx:32, by:1, bz:1, ' 
'gx:16, gy:6, gz:3, bx:32, by:1, bz:1, ' 
'gx:16, gy:9, gz:2, bx:32, by:1, bz:1, ' 
