'gx:1, gy:1, gz:2049, bx:32, by:1, bz:1, ' 
'gx:1, gy:3, gz:683, bx:32, by:1, bz:1, ' 
'gx:1, gy:683, gz:3, bx:32, by:1, bz:1, ' 
'gx:1, gy:2049, gz:1, bx:32, by:1, bz:1, ' 
'gx:3, gy:1, gz:683, bx:32, by:1, bz:1, ' 
'gx:3, gy:683, gz:1, bx:32, by:1, bz:1, ' 
'gx:683, gy:1, gz:3, bx:32, by:1, bz:1, ' 
'gx:683, gy:3, gz:1, bx:32, by:1, bz:1, ' 
'gx:2049, gy:1, gz:1, bx:32, by:1, bz:1, ' 
'gx:1, gy:1, gz:683, bx:96, by:1, bz:1, ' 
'gx:1, gy:683, gz:1, bx:96, by:1, bz:1, ' 
'gx:683, gy:1, gz:1, bx:96, by:1, bz:1, ' 
'gx:1, gy:1, gz:2049, bx:16, by:2, bz:1, ' 
'gx:1, gy:3, gz:683, bx:16, by:2, bz:1, ' 
'gx:1, gy:683, gz:3, bx:16, by:2, bz:1, ' 
'gx:1, gy:2049, gz:1, bx:16, by:2, bz:1, ' 
'gx:3, gy:1, gz:683, bx:16, by:2, bz:1, ' 
'gx:3, gy:683, gz:1, bx:16, by:2, bz:1, ' 
'gx:683, gy:1, gz:3, bx:16, by:2, bz:1, ' 
'gx:683, gy:3, gz:1, bx:16, by:2, bz:1, ' 
'gx:2049, gy:1, gz:1, bx:16, by:2, bz:1, ' 
'gx:1, gy:1, gz:683, bx:48, by:2, bz:1, ' 
'gx:1, gy:683, gz:1, bx:48, by:2, bz:1, ' 
'gx:683, gy:1, gz:1, bx:48, by:2, bz:1, ' 
'gx:1, gy:1, gz:683, bx:32, by:3, bz:1, ' 
'gx:1, gy:683, gz:1, bx:32, by:3, bz:1, ' 
'gx:683, gy:1, gz:1, bx:32, by:3, bz:1, ' 
'gx:1, gy:1, gz:2049, bx:8, by:4, bz:1, ' 
'gx:1, gy:3, gz:683, bx:8, by:4, bz:1, ' 
'gx:1, gy:683, gz:3, bx:8, by:4, bz:1, ' 
'gx:1, gy:2049, gz:1, bx:8, by:4, bz:1, ' 
'gx:3, gy:1, gz:683, bx:8, by:4, bz:1, ' 
'gx:3, gy:683, gz:1, bx:8, by:4, bz:1, ' 
'gx:683, gy:1, gz:3, bx:8, by:4, bz:1, ' 
'gx:683, gy:3, gz:1, bx:8, by:4, bz:1, ' 
'gx:2049, gy:1, gz:1, bx:8, by:4, bz:1, ' 
'gx:1, gy:1, gz:683, bx:24, by:4, bz:1, ' 
'gx:1, gy:683, gz:1, bx:24, by:4, bz:1, ' 
'gx:683, gy:1, gz:1, bx:24, by:4, bz:1, ' 
'gx:1, gy:1, gz:683, bx:16, by:6, bz:1, ' 
'gx:1, gy:683, gz:1, bx:16, by:6, bz:1, ' 
'gx:683, gy:1, gz:1, bx:16, by:6, bz:1, ' 
'gx:1, gy:1, gz:2049, bx:4, by:8, bz:1, ' 
'gx:1, gy:3, gz:683, bx:4, by:8, bz:1, ' 
'gx:1, gy:683, gz:3, bx:4, by:8, bz:1, ' 
'gx:1, gy:2049, gz:1, bx:4, by:8, bz:1, ' 
'gx:3, gy:1, gz:683, bx:4, by:8, bz:1, ' 
'gx:3, gy:683, gz:1, bx:4, by:8, bz:1, ' 
'gx:683, gy:1, gz:3, bx:4, by:8, bz:1, ' 
'gx:683, gy:3, gz:1, bx:4, by:8, bz:1, ' 
'gx:2049, gy:1, gz:1, bx:4, by:8, bz:1, ' 
'gx:1, gy:1, gz:683, bx:12, by:8, bz:1, ' 
'gx:1, gy:683, gz:1, bx:12, by:8, bz:1, ' 
'gx:683, gy:1, gz:1, bx:12, by:8, bz:1, ' 
'gx:1, gy:1, gz:683, bx:8, by:12, bz:1, ' 
'gx:1, gy:683, gz:1, bx:8, by:12, bz:1, ' 
'gx:683, gy:1, gz:1, bx:8, by:12, bz:1, ' 
'gx:1, gy:1, gz:2049, bx:2, by:16, bz:1, ' 
'gx:1, gy:3, gz:683, bx:2, by:16, bz:1, ' 
'gx:1, gy:683, gz:3, bx:2, by:16, bz:1, ' 
'gx:1, gy:2049, gz:1, bx:2, by:16, bz:1, ' 
'gx:3, gy:1, gz:683, bx:2, by:16, bz:1, ' 
'gx:3, gy:683, gz:1, bx:2, by:16, bz:1, ' 
'gx:683, gy:1, gz:3, bx:2, by:16, bz:1, ' 
'gx:683, gy:3, gz:1, bx:2, by:16, bz:1, ' 
'gx:2049, gy:1, gz:1, bx:2, by:16, bz:1, ' 
'gx:1, gy:1, gz:683, bx:6, by:16, bz:1, ' 
'gx:1, gy:683, gz:1, bx:6, by:16, bz:1, ' 
'gx:683, gy:1, gz:1, bx:6, by:16, bz:1, ' 
'gx:1, gy:1, gz:683, bx:4, by:24, bz:1, ' 
'gx:1, gy:683, gz:1, bx:4, by:24, bz:1, ' 
'gx:683, gy:1, gz:1, bx:4, by:24, bz:1, ' 
'gx:1, gy:1, gz:2049, bx:1, by:32, bz:1, ' 
'gx:1, gy:3, gz:683, bx:1, by:32, bz:1, ' 
'gx:1, gy:683, gz:3, bx:1, by:32, bz:1, ' 
'gx:1, gy:2049, gz:1, bx:1, by:32, bz:1, ' 
'gx:3, gy:1, gz:683, bx:1, by:32, bz:1, ' 
'gx:3, gy:683, gz:1, bx:1, by:32, bz:1, ' 
'gx:683, gy:1, gz:3, bx:1, by:32, bz:1, ' 
'gx:683, gy:3, gz:1, bx:1, by:32, bz:1, ' 
'gx:2049, gy:1, gz:1, bx:1, by:32, bz:1, ' 
'gx:1, gy:1, gz:683, bx:3, by:32, bz:1, ' 
'gx:1, gy:683, gz:1, bx:3, by:32, bz:1, ' 
'gx:683, gy:1, gz:1, bx:3, by:32, bz:1, ' 
'gx:1, gy:1, gz:683, bx:2, by:48, bz:1, ' 
'gx:1, gy:683, gz:1, bx:2, by:48, bz:1, ' 
'gx:683, gy:1, gz:1, bx:2, by:48, bz:1, ' 
'gx:1, gy:1, gz:683, bx:1, by:96, bz:1, ' 
'gx:1, gy:683, gz:1, bx:1, by:96, bz:1, ' 
'gx:683, gy:1, gz:1, bx:1, by:96, bz:1, ' 
'gx:1, gy:1, gz:2049, bx:16, by:1, bz:2, ' 
'gx:1, gy:3, gz:683, bx:16, by:1, bz:2, ' 
'gx:1, gy:683, gz:3, bx:16, by:1, bz:2, ' 
'gx:1, gy:2049, gz:1, bx:16, by:1, bz:2, ' 
'gx:3, gy:1, gz:683, bx:16, by:1, bz:2, ' 
'gx:3, gy:683, gz:1, bx:16, by:1, bz:2, ' 
'gx:683, gy:1, gz:3, bx:16, by:1, bz:2, ' 
'gx:683, gy:3, gz:1, bx:16, by:1, bz:2, ' 
'gx:2049, gy:1, gz:1, bx:16, by:1, bz:2, ' 
'gx:1, gy:1, gz:683, bx:48, by:1, bz:2, ' 
'gx:1, gy:683, gz:1, bx:48, by:1, bz:2, ' 
'gx:683, gy:1, gz:1, bx:48, by:1, bz:2, ' 
'gx:1, gy:1, gz:2049, bx:8, by:2, bz:2, ' 
'gx:1, gy:3, gz:683, bx:8, by:2, bz:2, ' 
'gx:1, gy:683, gz:3, bx:8, by:2, bz:2, ' 
'gx:1, gy:2049, gz:1, bx:8, by:2, bz:2, ' 
'gx:3, gy:1, gz:683, bx:8, by:2, bz:2, ' 
'gx:3, gy:683, gz:1, bx:8, by:2, bz:2, ' 
'gx:683, gy:1, gz:3, bx:8, by:2, bz:2, ' 
'gx:683, gy:3, gz:1, bx:8, by:2, bz:2, ' 
'gx:2049, gy:1, gz:1, bx:8, by:2, bz:2, ' 
'gx:1, gy:1, gz:683, bx:24, by:2, bz:2, ' 
'gx:1, gy:683, gz:1, bx:24, by:2, bz:2, ' 
'gx:683, gy:1, gz:1, bx:24, by:2, bz:2, ' 
'gx:1, gy:1, gz:683, bx:16, by:3, bz:2, ' 
'gx:1, gy:683, gz:1, bx:16, by:3, bz:2, ' 
'gx:683, gy:1, gz:1, bx:16, by:3, bz:2, ' 
'gx:1, gy:1, gz:2049, bx:4, by:4, bz:2, ' 
'gx:1, gy:3, gz:683, bx:4, by:4, bz:2, ' 
'gx:1, gy:683, gz:3, bx:4, by:4, bz:2, ' 
'gx:1, gy:2049, gz:1, bx:4, by:4, bz:2, ' 
'gx:3, gy:1, gz:683, bx:4, by:4, bz:2, ' 
'gx:3, gy:683, gz:1, bx:4, by:4, bz:2, ' 
'gx:683, gy:1, gz:3, bx:4, by:4, bz:2, ' 
'gx:683, gy:3, gz:1, bx:4, by:4, bz:2, ' 
'gx:2049, gy:1, gz:1, bx:4, by:4, bz:2, ' 
'gx:1, gy:1, gz:683, bx:12, by:4, bz:2, ' 
'gx:1, gy:683, gz:1, bx:12, by:4, bz:2, ' 
'gx:683, gy:1, gz:1, bx:12, by:4, bz:2, ' 
'gx:1, gy:1, gz:683, bx:8, by:6, bz:2, ' 
'gx:1, gy:683, gz:1, bx:8, by:6, bz:2, ' 
'gx:683, gy:1, gz:1, bx:8, by:6, bz:2, ' 
'gx:1, gy:1, gz:2049, bx:2, by:8, bz:2, ' 
'gx:1, gy:3, gz:683, bx:2, by:8, bz:2, ' 
'gx:1, gy:683, gz:3, bx:2, by:8, bz:2, ' 
'gx:1, gy:2049, gz:1, bx:2, by:8, bz:2, ' 
'gx:3, gy:1, gz:683, bx:2, by:8, bz:2, ' 
'gx:3, gy:683, gz:1, bx:2, by:8, bz:2, ' 
'gx:683, gy:1, gz:3, bx:2, by:8, bz:2, ' 
'gx:683, gy:3, gz:1, bx:2, by:8, bz:2, ' 
'gx:2049, gy:1, gz:1, bx:2, by:8, bz:2, ' 
'gx:1, gy:1, gz:683, bx:6, by:8, bz:2, ' 
'gx:1, gy:683, gz:1, bx:6, by:8, bz:2, ' 
'gx:683, gy:1, gz:1, bx:6, by:8, bz:2, ' 
'gx:1, gy:1, gz:683, bx:4, by:12, bz:2, ' 
'gx:1, gy:683, gz:1, bx:4, by:12, bz:2, ' 
'gx:683, gy:1, gz:1, bx:4, by:12, bz:2, ' 
'gx:1, gy:1, gz:2049, bx:1, by:16, bz:2, ' 
'gx:1, gy:3, gz:683, bx:1, by:16, bz:2, ' 
'gx:1, gy:683, gz:3, bx:1, by:16, bz:2, ' 
'gx:1, gy:2049, gz:1, bx:1, by:16, bz:2, ' 
