'gx:1, gy:1, gz:3872, bx:32, by:1, bz:1, ' 
'gx:1, gy:2, gz:1936, bx:32, by:1, bz:1, ' 
'gx:1, gy:4, gz:968, bx:32, by:1, bz:1, ' 
'gx:1, gy:8, gz:484, bx:32, by:1, bz:1, ' 
'gx:1, gy:11, gz:352, bx:32, by:1, bz:1, ' 
'gx:1, gy:16, gz:242, bx:32, by:1, bz:1, ' 
'gx:1, gy:22, gz:176, bx:32, by:1, bz:1, ' 
'gx:1, gy:32, gz:121, bx:32, by:1, bz:1, ' 
'gx:1, gy:44, gz:88, bx:32, by:1, bz:1, ' 
'gx:1, gy:88, gz:44, bx:32, by:1, bz:1, ' 
'gx:1, gy:121, gz:32, bx:32, by:1, bz:1, ' 
'gx:1, gy:176, gz:22, bx:32, by:1, bz:1, ' 
'gx:1, gy:242, gz:16, bx:32, by:1, bz:1, ' 
'gx:1, gy:352, gz:11, bx:32, by:1, bz:1, ' 
'gx:1, gy:484, gz:8, bx:32, by:1, bz:1, ' 
'gx:1, gy:968, gz:4, bx:32, by:1, bz:1, ' 
'gx:1, gy:1936, gz:2, bx:32, by:1, bz:1, ' 
'gx:1, gy:3872, gz:1, bx:32, by:1, bz:1, ' 
'gx:2, gy:1, gz:1936, bx:32, by:1, bz:1, ' 
'gx:2, gy:2, gz:968, bx:32, by:1, bz:1, ' 
'gx:2, gy:4, gz:484, bx:32, by:1, bz:1, ' 
'gx:2, gy:8, gz:242, bx:32, by:1, bz:1, ' 
'gx:2, gy:11, gz:176, bx:32, by:1, bz:1, ' 
'gx:2, gy:16, gz:121, bx:32, by:1, bz:1, ' 
'gx:2, gy:22, gz:88, bx:32, by:1, bz:1, ' 
'gx:2, gy:44, gz:44, bx:32, by:1, bz:1, ' 
'gx:2, gy:88, gz:22, bx:32, by:1, bz:1, ' 
'gx:2, gy:121, gz:16, bx:32, by:1, bz:1, ' 
'gx:2, gy:176, gz:11, bx:32, by:1, bz:1, ' 
'gx:2, gy:242, gz:8, bx:32, by:1, bz:1, ' 
'gx:2, gy:484, gz:4, bx:32, by:1, bz:1, ' 
'gx:2, gy:968, gz:2, bx:32, by:1, bz:1, ' 
'gx:2, gy:1936, gz:1, bx:32, by:1, bz:1, ' 
'gx:4, gy:1, gz:968, bx:32, by:1, bz:1, ' 
'gx:4, gy:2, gz:484, bx:32, by:1, bz:1, ' 
'gx:4, gy:4, gz:242, bx:32, by:1, bz:1, ' 
'gx:4, gy:8, gz:121, bx:32, by:1, bz:1, ' 
'gx:4, gy:11, gz:88, bx:32, by:1, bz:1, ' 
'gx:4, gy:22, gz:44, bx:32, by:1, bz:1, ' 
'gx:4, gy:44, gz:22, bx:32, by:1, bz:1, ' 
'gx:4, gy:88, gz:11, bx:32, by:1, bz:1, ' 
'gx:4, gy:121, gz:8, bx:32, by:1, bz:1, ' 
'gx:4, gy:242, gz:4, bx:32, by:1, bz:1, ' 
'gx:4, gy:484, gz:2, bx:32, by:1, bz:1, ' 
'gx:4, gy:968, gz:1, bx:32, by:1, bz:1, ' 
'gx:8, gy:1, gz:484, bx:32, by:1, bz:1, ' 
'gx:8, gy:2, gz:242, bx:32, by:1, bz:1, ' 
'gx:8, gy:4, gz:121, bx:32, by:1, bz:1, ' 
'gx:8, gy:11, gz:44, bx:32, by:1, bz:1, ' 
'gx:8, gy:22, gz:22, bx:32, by:1, bz:1, ' 
'gx:8, gy:44, gz:11, bx:32, by:1, bz:1, ' 
'gx:8, gy:121, gz:4, bx:32, by:1, bz:1, ' 
'gx:8, gy:242, gz:2, bx:32, by:1, bz:1, ' 
'gx:8, gy:484, gz:1, bx:32, by:1, bz:1, ' 
'gx:11, gy:1, gz:352, bx:32, by:1, bz:1, ' 
'gx:11, gy:2, gz:176, bx:32, by:1, bz:1, ' 
'gx:11, gy:4, gz:88, bx:32, by:1, bz:1, ' 
'gx:11, gy:8, gz:44, bx:32, by:1, bz:1, ' 
'gx:11, gy:11, gz:32, bx:32, by:1, bz:1, ' 
'gx:11, gy:16, gz:22, bx:32, by:1, bz:1, ' 
'gx:11, gy:22, gz:16, bx:32, by:1, bz:1, ' 
'gx:11, gy:32, gz:11, bx:32, by:1, bz:1, ' 
'gx:11, gy:44, gz:8, bx:32, by:1, bz:1, ' 
'gx:11, gy:88, gz:4, bx:32, by:1, bz:1, ' 
'gx:11, gy:176, gz:2, bx:32, by:1, bz:1, ' 
'gx:11, gy:352, gz:1, bx:32, by:1, bz:1, ' 
'gx:16, gy:1, gz:242, bx:32, by:1, bz:1, ' 
'gx:16, gy:2, gz:121, bx:32, by:1, bz:1, ' 
'gx:16, gy:11, gz:22, bx:32, by:1, bz:1, ' 
'gx:16, gy:22, gz:11, bx:32, by:1, bz:1, ' 
'gx:16, gy:121, gz:2, bx:32, by:1, bz:1, ' 
'gx:16, gy:242, gz:1, bx:32, by:1, bz:1, ' 
'gx:22, gy:1, gz:176, bx:32, by:1, bz:1, ' 
'gx:22, gy:2, gz:88, bx:32, by:1, bz:1, ' 
'gx:22, gy:4, gz:44, bx:32, by:1, bz:1, ' 
'gx:22, gy:8, gz:22, bx:32, by:1, bz:1, ' 
'gx:22, gy:11, gz:16, bx:32, by:1, bz:1, ' 
'gx:22, gy:16, gz:11, bx:32, by:1, bz:1, ' 
'gx:22, gy:22, gz:8, bx:32, by:1, bz:1, ' 
'gx:22, gy:44, gz:4, bx:32, by:1, bz:1, ' 
'gx:22, gy:88, gz:2, bx:32, by:1, bz:1, ' 
'gx:22, gy:176, gz:1, bx:32, by:1, bz:1, ' 
