'gx:1, gy:1, gz:800, bx:32, by:1, bz:1, ' 
'gx:1, gy:2, gz:400, bx:32, by:1, bz:1, ' 
'gx:1, gy:4, gz:200, bx:32, by:1, bz:1, ' 
'gx:1, gy:5, gz:160, bx:32, by:1, bz:1, ' 
'gx:1, gy:8, gz:100, bx:32, by:1, bz:1, ' 
'gx:1, gy:10, gz:80, bx:32, by:1, bz:1, ' 
'gx:1, gy:16, gz:50, bx:32, by:1, bz:1, ' 
'gx:1, gy:20, gz:40, bx:32, by:1, bz:1, ' 
'gx:1, gy:25, gz:32, bx:32, by:1, bz:1, ' 
'gx:1, gy:32, gz:25, bx:32, by:1, bz:1, ' 
'gx:1, gy:40, gz:20, bx:32, by:1, bz:1, ' 
'gx:1, gy:50, gz:16, bx:32, by:1, bz:1, ' 
'gx:1, gy:80, gz:10, bx:32, by:1, bz:1, ' 
'gx:1, gy:100, gz:8, bx:32, by:1, bz:1, ' 
'gx:1, gy:160, gz:5, bx:32, by:1, bz:1, ' 
'gx:1, gy:200, gz:4, bx:32, by:1, bz:1, ' 
'gx:1, gy:400, gz:2, bx:32, by:1, bz:1, ' 
'gx:1, gy:800, gz:1, bx:32, by:1, bz:1, ' 
'gx:2, gy:1, gz:400, bx:32, by:1, bz:1, ' 
'gx:2, gy:2, gz:200, bx:32, by:1, bz:1, ' 
'gx:2, gy:4, gz:100, bx:32, by:1, bz:1, ' 
'gx:2, gy:5, gz:80, bx:32, by:1, bz:1, ' 
'gx:2, gy:8, gz:50, bx:32, by:1, bz:1, ' 
'gx:2, gy:10, gz:40, bx:32, by:1, bz:1, ' 
'gx:2, gy:16, gz:25, bx:32, by:1, bz:1, ' 
'gx:2, gy:20, gz:20, bx:32, by:1, bz:1, ' 
'gx:2, gy:25, gz:16, bx:32, by:1, bz:1, ' 
'gx:2, gy:40, gz:10, bx:32, by:1, bz:1, ' 
'gx:2, gy:50, gz:8, bx:32, by:1, bz:1, ' 
'gx:2, gy:80, gz:5, bx:32, by:1, bz:1, ' 
'gx:2, gy:100, gz:4, bx:32, by:1, bz:1, ' 
'gx:2, gy:200, gz:2, bx:32, by:1, bz:1, ' 
'gx:2, gy:400, gz:1, bx:32, by:1, bz:1, ' 
'gx:4, gy:1, gz:200, bx:32, by:1, bz:1, ' 
'gx:4, gy:2, gz:100, bx:32, by:1, bz:1, ' 
'gx:4, gy:4, gz:50, bx:32, by:1, bz:1, ' 
'gx:4, gy:5, gz:40, bx:32, by:1, bz:1, ' 
'gx:4, gy:8, gz:25, bx:32, by:1, bz:1, ' 
'gx:4, gy:10, gz:20, bx:32, by:1, bz:1, ' 
'gx:4, gy:20, gz:10, bx:32, by:1, bz:1, ' 
'gx:4, gy:25, gz:8, bx:32, by:1, bz:1, ' 
'gx:4, gy:40, gz:5, bx:32, by:1, bz:1, ' 
'gx:4, gy:50, gz:4, bx:32, by:1, bz:1, ' 
'gx:4, gy:100, gz:2, bx:32, by:1, bz:1, ' 
'gx:4, gy:200, gz:1, bx:32, by:1, bz:1, ' 
'gx:5, gy:1, gz:160, bx:32, by:1, bz:1, ' 
'gx:5, gy:2, gz:80, bx:32, by:1, bz:1, ' 
'gx:5, gy:4, gz:40, bx:32, by:1, bz:1, ' 
'gx:5, gy:5, gz:32, bx:32, by:1, bz:1, ' 
'gx:5, gy:8, gz:20, bx:32, by:1, bz:1, ' 
'gx:5, gy:10, gz:16, bx:32, by:1, bz:1, ' 
'gx:5, gy:16, gz:10, bx:32, by:1, bz:1, ' 
'gx:5, gy:20, gz:8, bx:32, by:1, bz:1, ' 
'gx:5, gy:32, gz:5, bx:32, by:1, bz:1, ' 
'gx:5, gy:40, gz:4, bx:32, by:1, bz:1, ' 
'gx:5, gy:80, gz:2, bx:32, by:1, bz:1, ' 
'gx:5, gy:160, gz:1, bx:32, by:1, bz:1, ' 
'gx:8, gy:1, gz:100, bx:32, by:1, bz:1, ' 
'gx:8, gy:2, gz:50, bx:32, by:1, bz:1, ' 
'gx:8, gy:4, gz:25, bx:32, by:1, bz:1, ' 
