'gx:49, gy:2, gz:16, bx:32, by:1, bz:1, ' 
'gx:49, gy:4, gz:8, bx:32, by:1, bz:1, ' 
'gx:49, gy:8, gz:4, bx:32, by:1, bz:1, ' 
'gx:49, gy:16, gz:2, bx:32, by:1, bz:1, ' 
'gx:49, gy:32, gz:1, bx:32, by:1, bz:1, ' 
'gx:56, gy:1, gz:28, bx:32, by:1, bz:1, ' 
'gx:56, gy:2, gz:14, bx:32, by:1, bz:1, ' 
'gx:56, gy:4, gz:7, bx:32, by:1, bz:1, ' 
'gx:56, gy:7, gz:4, bx:32, by:1, bz:1, ' 
'gx:56, gy:14, gz:2, bx:32, by:1, bz:1, ' 
'gx:56, gy:28, gz:1, bx:32, by:1, bz:1, ' 
'gx:98, gy:1, gz:16, bx:32, by:1, bz:1, ' 
'gx:98, gy:2, gz:8, bx:32, by:1, bz:1, ' 
'gx:98, gy:4, gz:4, bx:32, by:1, bz:1, ' 
'gx:98, gy:8, gz:2, bx:32, by:1, bz:1, ' 
'gx:98, gy:16, gz:1, bx:32, by:1, bz:1, ' 
'gx:112, gy:1, gz:14, bx:32, by:1, bz:1, ' 
'gx:112, gy:2, gz:7, bx:32, by:1, bz:1, ' 
'gx:112, gy:7, gz:2, bx:32, by:1, bz:1, ' 
'gx:112, gy:14, gz:1, bx:32, by:1, bz:1, ' 
'gx:196, gy:1, gz:8, bx:32, by:1, bz:1, ' 
'gx:196, gy:2, gz:4, bx:32, by:1, bz:1, ' 
'gx:196, gy:4, gz:2, bx:32, by:1, bz:1, ' 
'gx:196, gy:8, gz:1, bx:32, by:1, bz:1, ' 
'gx:224, gy:1, gz:7, bx:32, by:1, bz:1, ' 
'gx:224, gy:7, gz:1, bx:32, by:1, bz:1, ' 
'gx:392, gy:1, gz:4, bx:32, by:1, bz:1, ' 
'gx:392, gy:2, gz:2, bx:32, by:1, bz:1, ' 
'gx:392, gy:4, gz:1, bx:32, by:1, bz:1, ' 
'gx:784, gy:1, gz:2, bx:32, by:1, bz:1, ' 
'gx:784, gy:2, gz:1, bx:32, by:1, bz:1, ' 
'gx:1568, gy:1, gz:1, bx:32, by:1, bz:1, ' 
'gx:1, gy:1, gz:784, bx:64, by:1, bz:1, ' 
'gx:1, gy:2, gz:392, bx:64, by:1, bz:1, ' 
'gx:1, gy:4, gz:196, bx:64, by:1, bz:1, ' 
'gx:1, gy:7, gz:112, bx:64, by:1, bz:1, ' 
'gx:1, gy:8, gz:98, bx:64, by:1, bz:1, ' 
'gx:1, gy:14, gz:56, bx:64, by:1, bz:1, ' 
'gx:1, gy:16, gz:49, bx:64, by:1, bz:1, ' 
'gx:1, gy:28, gz:28, bx:64, by:1, bz:1, ' 
'gx:1, gy:49, gz:16, bx:64, by:1, bz:1, ' 
'gx:1, gy:56, gz:14, bx:64, by:1, bz:1, ' 
'gx:1, gy:98, gz:8, bx:64, by:1, bz:1, ' 
'gx:1, gy:112, gz:7, bx:64, by:1, bz:1, ' 
'gx:1, gy:196, gz:4, bx:64, by:1, bz:1, ' 
'gx:1, gy:392, gz:2, bx:64, by:1, bz:1, ' 
'gx:1, gy:784, gz:1, bx:64, by:1, bz:1, ' 
'gx:2, gy:1, gz:392, bx:64, by:1, bz:1, ' 
'gx:2, gy:2, gz:196, bx:64, by:1, bz:1, ' 
'gx:2, gy:4, gz:98, bx:64, by:1, bz:1, ' 
'gx:2, gy:7, gz:56, bx:64, by:1, bz:1, ' 
'gx:2, gy:8, gz:49, bx:64, by:1, bz:1, ' 
'gx:2, gy:14, gz:28, bx:64, by:1, bz:1, ' 
'gx:2, gy:28, gz:14, bx:64, by:1, bz:1, ' 
